id_lesson;id_teacher;id_subject;id_group;date
1;2;10;1;2019-05-01
2;2;10;1;2019-04-15
3;2;10;1;2019-05-20
4;2;10;1;2019-04-18
5;2;10;1;2019-03-25
6;2;10;1;2019-05-23
7;2;10;1;2019-04-14
8;2;10;1;2019-04-19
9;2;10;1;2019-03-28
10;2;10;1;2019-03-21
11;2;10;1;2019-04-12
12;2;10;1;2019-05-23
13;2;10;1;2019-02-28
14;2;10;1;2019-05-08
15;2;10;1;2019-03-30
16;2;10;1;2019-02-01
17;2;10;1;2019-05-08
18;2;10;1;2019-04-13
19;2;10;1;2019-02-14
20;2;10;1;2019-04-04
21;2;10;1;2019-05-07
22;2;10;1;2019-05-18
23;1;1;1;2019-05-09
24;1;1;1;2019-02-13
25;1;1;1;2019-02-28
26;1;1;1;2019-05-05
27;1;1;1;2019-03-24
28;1;1;1;2019-05-23
29;1;1;1;2019-05-06
30;1;1;1;2019-02-06
31;1;1;1;2019-03-19
32;1;1;1;2019-04-10
33;1;1;1;2019-04-15
34;1;1;1;2019-02-20
35;1;1;1;2019-04-02
36;1;1;1;2019-05-03
37;1;1;1;2019-04-27
38;1;1;1;2019-04-23
39;1;1;1;2019-04-12
40;1;1;1;2019-05-24
41;1;1;1;2019-05-19
42;1;1;3;2019-02-01
43;1;1;3;2019-04-04
44;1;1;3;2019-05-07
45;1;1;3;2019-04-04
46;1;1;3;2019-05-06
47;1;1;3;2019-04-10
48;1;1;3;2019-03-20
49;1;1;3;2019-04-27
50;1;1;3;2019-02-05
51;1;1;3;2019-05-10
52;1;1;3;2019-03-14
53;1;1;3;2019-04-06
54;1;1;3;2019-04-13
55;1;1;3;2019-05-07
56;1;1;3;2019-04-01
57;1;1;3;2019-02-13
58;1;1;3;2019-03-20
59;1;1;3;2019-02-13
60;1;1;3;2019-04-03
61;2;2;2;2019-02-08
62;2;2;2;2019-02-14
63;2;2;2;2019-02-19
64;2;2;2;2019-05-04
65;2;2;2;2019-05-19
66;2;2;2;2019-04-09
67;2;2;2;2019-03-02
68;2;2;2;2019-03-11
69;2;2;2;2019-02-20
70;2;2;2;2019-04-27
71;2;2;2;2019-04-07
72;2;2;2;2019-03-27
73;2;2;2;2019-05-25
74;2;2;2;2019-04-29
75;2;2;2;2019-02-24
76;2;2;2;2019-04-07
77;2;2;2;2019-04-24
78;2;2;2;2019-03-26
79;2;2;2;2019-03-24
80;2;2;4;2019-02-05
81;2;2;4;2019-02-05
82;2;2;4;2019-05-05
83;2;2;4;2019-04-03
84;2;2;4;2019-04-02
85;2;2;4;2019-05-28
86;2;2;4;2019-03-22
87;2;2;4;2019-04-01
88;2;2;4;2019-02-19
89;2;2;4;2019-02-28
90;2;2;4;2019-04-25
91;2;2;4;2019-02-02
92;2;2;4;2019-03-08
93;2;2;4;2019-04-25
94;2;2;4;2019-05-03
95;2;2;4;2019-03-28
96;2;2;4;2019-03-30
97;2;2;4;2019-05-04
98;2;2;4;2019-04-13
99;3;3;4;2019-02-17
100;3;3;4;2019-04-04
101;3;3;4;2019-04-12
102;3;3;4;2019-03-27
103;3;3;4;2019-02-23
104;3;3;4;2019-03-09
105;3;3;4;2019-04-15
106;3;3;4;2019-02-23
107;3;3;4;2019-04-23
108;3;3;3;2019-02-04
109;3;3;3;2019-04-22
110;3;3;3;2019-02-17
111;3;3;3;2019-03-31
112;3;3;3;2019-05-09
113;3;3;3;2019-05-21
114;3;3;3;2019-04-12
115;3;3;3;2019-02-20
116;3;3;3;2019-02-23
117;3;3;2;2019-02-04
118;3;3;2;2019-04-21
119;3;3;2;2019-02-12
120;3;3;2;2019-03-15
121;3;3;2;2019-04-18
122;3;3;2;2019-02-10
123;3;3;2;2019-05-11
124;3;3;2;2019-02-24
125;3;3;2;2019-02-11
126;3;3;1;2019-04-08
127;3;3;1;2019-04-19
128;3;3;1;2019-02-21
129;3;3;1;2019-02-26
130;3;3;1;2019-04-10
131;3;3;1;2019-05-22
132;3;3;1;2019-02-19
133;3;3;1;2019-03-31
134;3;3;1;2019-05-17
135;4;4;1;2019-04-17
136;4;4;1;2019-05-01
137;4;4;1;2019-05-06
138;4;4;1;2019-03-18
139;4;4;1;2019-03-18
140;4;4;1;2019-05-06
141;4;4;1;2019-03-08
142;4;4;1;2019-03-15
143;4;4;1;2019-03-17
144;4;4;1;2019-04-11
145;4;4;1;2019-05-03
146;4;4;1;2019-05-04
147;4;4;1;2019-04-27
148;4;4;1;2019-04-02
149;4;4;1;2019-02-13
150;4;4;4;2019-03-16
151;4;4;4;2019-05-02
152;4;4;4;2019-05-11
153;4;4;4;2019-03-25
154;4;4;4;2019-05-24
155;4;4;4;2019-03-30
156;4;4;4;2019-05-24
157;4;4;4;2019-03-30
158;4;4;4;2019-05-16
159;4;4;4;2019-04-20
160;4;4;4;2019-02-11
161;4;4;4;2019-04-16
162;4;4;4;2019-04-29
163;4;4;4;2019-03-18
164;4;4;4;2019-05-21
165;5;5;2;2019-03-20
166;5;5;2;2019-03-01
167;5;5;2;2019-02-09
168;5;5;2;2019-02-27
169;5;5;2;2019-05-29
170;5;5;2;2019-02-26
171;5;5;2;2019-04-18
172;5;5;2;2019-02-20
173;5;5;2;2019-04-08
174;5;5;2;2019-02-23
175;5;5;2;2019-02-06
176;5;5;2;2019-04-09
177;5;5;2;2019-03-29
178;5;5;2;2019-03-23
179;5;5;2;2019-03-11
180;5;5;3;2019-03-11
181;5;5;3;2019-04-19
182;5;5;3;2019-04-30
183;5;5;3;2019-02-12
184;5;5;3;2019-04-08
185;5;5;3;2019-02-17
186;5;5;3;2019-02-20
187;5;5;3;2019-04-26
188;5;5;3;2019-03-04
189;5;5;3;2019-03-11
190;5;5;3;2019-05-27
191;5;5;3;2019-02-06
192;5;5;3;2019-02-13
193;5;5;3;2019-03-15
194;5;5;3;2019-05-21
195;6;6;3;2019-04-29
196;6;6;3;2019-02-01
197;6;6;3;2019-02-25
198;6;6;3;2019-05-02
199;6;6;3;2019-04-22
200;6;6;3;2019-05-02
201;6;6;3;2019-04-12
202;6;6;3;2019-05-08
203;6;6;3;2019-05-08
204;6;6;3;2019-03-18
205;6;6;3;2019-03-29
206;6;6;3;2019-02-16
207;6;6;3;2019-03-26
208;6;6;3;2019-03-17
209;6;6;3;2019-03-25
210;6;6;3;2019-03-28
211;6;6;3;2019-04-25
212;6;6;3;2019-03-15
213;6;6;4;2019-02-05
214;6;6;4;2019-05-14
215;6;6;4;2019-04-24
216;6;6;4;2019-02-17
217;6;6;4;2019-05-04
218;6;6;4;2019-05-08
219;6;6;4;2019-02-12
220;6;6;4;2019-04-15
221;6;6;4;2019-04-06
222;6;6;4;2019-04-09
223;6;6;4;2019-03-14
224;6;6;4;2019-03-09
225;6;6;4;2019-03-19
226;6;6;4;2019-02-09
227;6;6;4;2019-02-03
228;6;6;4;2019-04-29
229;6;6;4;2019-04-14
230;6;6;4;2019-02-19
231;7;7;1;2019-04-03
232;7;7;1;2019-03-28
233;7;7;1;2019-05-17
234;7;7;1;2019-03-15
235;7;7;1;2019-05-30
236;7;7;1;2019-02-14
237;7;7;1;2019-02-09
238;7;7;1;2019-03-20
239;7;7;1;2019-05-09
240;7;7;1;2019-03-14
241;7;7;1;2019-05-02
242;7;7;1;2019-05-17
243;7;7;1;2019-03-30
244;7;7;1;2019-03-02
245;7;7;1;2019-02-06
246;7;7;1;2019-02-15
247;7;7;1;2019-04-24
248;7;7;1;2019-03-28
249;7;7;2;2019-02-06
250;7;7;2;2019-02-25
251;7;7;2;2019-02-26
252;7;7;2;2019-03-18
253;7;7;2;2019-04-14
254;7;7;2;2019-04-09
255;7;7;2;2019-05-18
256;7;7;2;2019-03-03
257;7;7;2;2019-03-02
258;7;7;2;2019-02-26
259;7;7;2;2019-05-25
260;7;7;2;2019-04-16
261;7;7;2;2019-03-27
262;7;7;2;2019-03-31
263;7;7;2;2019-05-29
264;7;7;2;2019-03-22
265;7;7;2;2019-05-16
266;7;7;2;2019-02-04
267;8;8;1;2019-03-02
268;8;8;1;2019-03-27
269;8;8;1;2019-03-24
270;8;8;1;2019-02-15
271;8;8;1;2019-02-27
272;8;8;1;2019-03-05
273;8;8;2;2019-04-12
274;8;8;2;2019-05-06
275;8;8;2;2019-05-16
276;8;8;2;2019-03-19
277;8;8;2;2019-04-14
278;8;8;2;2019-04-15
279;8;8;3;2019-02-11
280;8;8;3;2019-02-05
281;8;8;3;2019-02-08
282;8;8;3;2019-04-16
283;8;8;3;2019-04-19
284;8;8;3;2019-03-21
285;8;8;4;2019-03-08
286;8;8;4;2019-05-07
287;8;8;4;2019-05-15
288;8;8;4;2019-05-08
289;8;8;4;2019-02-25
290;8;8;4;2019-05-21
291;8;9;2;2019-03-14
292;8;9;2;2019-04-23
293;8;9;2;2019-04-08
294;8;9;2;2019-02-17
295;8;9;2;2019-05-10
296;8;9;2;2019-05-19
