id_mark;id_lesson;id_student;mark
1;12;18;3
3;31;52;5
17;60;68;2
20;289;44;4
23;282;9;3
24;25;16;5
25;102;22;4
27;75;11;4
35;229;47;5
36;85;29;2
42;292;2;2
43;17;31;4
46;32;51;4
50;263;15;5
52;133;69;2
60;288;19;3
66;70;33;4
67;272;63;4
69;201;23;4
70;121;64;4
74;100;44;2
76;202;5;5
78;40;39;5
79;238;76;4
80;183;25;4
82;166;41;4
84;250;53;4
89;195;5;5
95;252;71;2
97;214;35;4
102;11;63;2
112;108;34;2
124;68;2;4
125;223;29;2
128;91;4;2
130;252;7;4
134;260;1;4
137;73;58;3
139;290;21;5
154;127;18;5
164;213;22;5
168;48;12;3
169;142;18;4
171;146;63;4
174;225;49;5
175;124;53;2
177;52;23;2
178;292;36;3
180;210;59;5
186;213;66;4
189;128;18;2
191;190;59;5
202;223;38;3
205;292;2;5
209;35;62;3
214;262;15;4
217;126;32;3
219;64;11;4
227;47;28;4
228;222;46;2
230;82;4;2
243;121;58;4
245;188;23;4
247;169;53;3
249;90;21;3
250;153;61;3
253;213;29;5
259;186;42;3
264;65;6;4
267;112;55;3
277;221;26;4
291;46;55;4
302;218;21;4
303;171;43;4
308;105;61;5
314;136;16;5
316;224;26;5
317;152;47;4
320;106;56;3
326;43;25;4
328;222;44;2
330;67;1;4
337;67;71;4
341;240;16;5
342;107;48;3
343;113;59;4
349;282;28;2
352;173;7;4
356;254;64;4
359;115;34;4
361;199;77;5
366;266;15;4
369;3;72;4
371;176;58;4
373;164;19;5
378;32;72;5
381;154;48;3
388;106;75;2
391;12;52;4
395;296;58;2
399;100;3;3
404;134;52;4
414;274;1;2
420;129;69;3
422;24;16;2
424;75;11;2
425;140;13;2
429;74;67;2
431;148;39;3
445;63;64;2
447;93;26;3
450;50;28;2
452;5;52;4
457;227;75;2
464;52;42;4
465;79;65;3
469;198;77;5
474;157;29;4
480;16;32;4
485;39;39;3
493;96;49;4
495;5;51;4
498;116;9;4
502;48;8;4
506;226;38;4
507;24;13;4
519;45;77;4
524;280;68;2
525;279;59;4
528;100;44;4
534;80;46;4
536;115;28;4
542;112;23;4
545;254;53;4
546;44;77;3
548;191;55;2
550;289;48;3
554;39;39;4
558;255;11;4
563;238;13;4
564;253;58;5
568;160;46;2
